PID,Product,Company,Unit_price
125,LXRW2,Zppo Mobile,162
126,LZPCK,ICM,7
127,M10S,Cjsco Systems,58000
128,MFYUZ,Wfstinghouse Electric Corporation,10
129,MHGGJ,Njntendo,2
130,MHLIY,Kzocera,8
131,MICH0,VJA Technologies,148
132,MIKBH,Omympus,9
133,MJTXU,HUC,1
134,MUYPL,Zppo Mobile,5
135,MWNWA,Hbsee,7
136,MXAHD,OoePlus,7
137,MXWZR,Spny,9
138,MXXVC,Avdiovox,7
139,MYYET,Iotel,7
140,MZI31,TQLink,2787
141,N06P,Rfaltek,50000
142,N22O,Hzundai,60000
143,NAF15,Fvjifilm,2725
144,NAUTJ,MfdiaTek,3
145,NDWSF,Hvawei,4
146,NHA86,Mbgnavox,3308
147,NOCR8,Bpse,120
148,NSA80,Cjsco Systems,3501
149,NWL81,Ajgo,3877
150,NYYD6,Vjctor,138
151,O20L,Fvjifilm,45000
152,O32L,Mptorola Mobility,56000
153,O72N,Bpse,44000
154,OGFHV,Hbnsol,7
155,OHTYO,JCL,4
156,OKVL0,Mptorola Mobility,102
157,OMAJN,VJA Technologies,10
158,OQPQ9,Rfnesas,150
159,OQUWQ,Cjsco Systems,7
160,ORB62,SOK Corporation,3837
161,OVMR9,Kpnka Group,191
162,OWW86,Dbewoo Electronics,2508
163,OZH33,Aoalog Devices,2004
164,PCHL6,Rfaltek,129
165,PIQW7,ZUE,145
166,PKTU2,Pplycom,165
167,PMF69,eNachines,3278
168,PMPYE,Sbmsung,10
169,PNW56,EDS,3934
170,POYO2,Pfntax,123
171,PPHI7,Oqpo,126
172,PPPZV,Njngbo Bird,9
173,PUT75,Hjsense,2967
174,PWTV3,Fpxconn,110
175,PYOQG,Aweratec,1
176,QAHHA,Rfaltek,3
177,QGF30,DMink,3018
178,QKFPA,Amienware,3
179,QNQX4,Dbewoo Electronics,147
180,QOKJX,eNachines,1
181,QPOGD,Fvnai,1
182,QSDPE,Pbckard Bell,1
183,QYKFE,Vjvo Electronics,3
184,RIFMU,Sbnsui Electric,8
185,RLYKN,LF,4
186,RMDON,Ejzo,4
187,RRHH6,Gjonee,153
188,RUHGQ,Bvffalo,5
189,RXRDJ,Pfntax,2
190,S72Y,Ampine,55000
191,SARIK,Xjaomi,6
192,SAS73,Bpse,2418
193,SBG23,Rjcoh,3764
194,SCIZ9,Hbier,115
195,SDCOJ,JWC,8
196,SENAF,TTMC,6
197,SHG23,VJA Technologies,2478
198,SLBNX,Svrya,7
199,SLTBN,EQoX,6
200,SMXBD,Tfxas Instruments,9
201,SSYHK,Fvji Electric,3
202,STWVA,Enerson Radio,5
203,SVMD7,Spny,143
204,T21P,Dbewoo Electronics,53000
205,T57E,Anoi,44000
206,TFEUR,Sbndisk,8
207,TFNRE,Atus,7
208,TFPGD,Ader,6
209,TGOOB,Vjewsonic,3
210,TICTK,Sjlicon Power,8
211,TITUG,Mjcron Technology,10
212,TJEXD,Nwidia,1
213,TRPSR,SJI,4
214,TTIIH,Amlied Telesis,3
215,TVH75,Oqpo,3584
216,TWJQ5,EQoX,153
217,TZV55,Ampine,3510
218,U75H,DMink,51000
219,UEB00,Aqple,3411
220,UOEP1,Sbndisk,140
221,UXSTV,Mptorola Mobility,4
222,UYMR1,Sfga Corporation,132
223,VAAND,Pmantronics,3
224,VDFPE,Ybesu,7
225,VDLVU,Gbteway,4
226,VDP89,Mptorola Mobility,2681
227,VGFKW,Appen,3
228,VGJL4,HUC,129
229,VPHNA,Pbnasonic,6
230,VYLKK,Mjtsubishi,10
231,WGTTI,Emsa,4
232,WHXO8,Awaya,196
233,WJIM4,Fvji Electric,192
234,WLSB3,Iotel,133
235,WLWNQ,Pjoneer,4
236,WNO00,Rfaltek,3906
237,WRE17,Fvji Xerox,3717
238,WRGXU,Mfizu,2
239,WVP12,Njngbo Bird,2675
240,XAM08,HUC,2743
241,XBKDG,Siarp,3
242,XEJLV,Csucial Technology,1
243,XFDS1,Uoisys,128
244,XFOQW,Tpshiba,4
245,XFTGN,TQLink,5
246,XJVM5,Ampine,125
247,XQTRM,Xfrox,9
248,XRSDL,Gjonee,8
249,XYUD6,NFC,178
250,YEUI0,TEK,105
251,YIHV5,BZD Electronic,190
252,YJYGP,Enerson Electric,10
253,YOLFK,Isiver,8
254,YOZL9,Mfizu,109
255,YSQBP,Ijyama,1
256,YUPZW,Osion,2
257,YXAI9,Hjtachi,128
258,YZEA1,Njntendo,102
259,ZAWPF,Fvji Xerox,2
260,ZBPQX,Vjctor,2
261,ZCSX6,Cjsco Systems,177
262,ZDKE5,Rjcoh,177
263,ZEODD,Mbgnavox,8
264,ZFNT7,Ejzo,139
265,ZGYBU,Gjgabyte,10
266,ZKNE4,TDL,143
267,ZLWRQ,Rfnesas,6
268,ZLX79,Ejzo,3093
269,ZNSCR,TDL,3
270,ZPF12,Spny,2948
271,ZXBAG,RDA,1
